,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
200,Storm Eunice,https://en.wikipedia.org/wiki/Storm_Eunice,Storm Eunice occurred from 17 February 2022 to 19 February 2022.,"Storm Eunice affected Belgium, Czech Republic, Denmark, France, Germany, Ireland, Lithuania, Netherlands, Poland, and United Kingdom.","Millions of people were left without power across affected areas, and many homes sustained damage.",Storm Eunice caused 17 fatalities in total.,The exact number of people who became homeless or displaced is not explicitly mentioned in the provided text.,Several people were seriously injured due to Storm Eunice.,"The economic loss or damage due to Storm Eunice was estimated to be over EUR1.83 billion, with specific amounts for different countries mentioned.","More than 5,000 buildings were damaged, with specific instances of building damage mentioned in the text."
201,Hurricane Betsy (1956),https://en.wikipedia.org/wiki/Hurricane_Betsy_(1956),"Hurricane Betsy (1956) occurred from August 9, 1956 to August 18, 1956.","The areas affected by Hurricane Betsy (1956) include Lesser Antilles, U.S. Virgin Islands, Puerto Rico, Hispaniola, Bahamas, and the East Coast of the United States.","A total of 15,023 houses were destroyed by Hurricane Betsy (1956) in Puerto Rico, and over 12,000 people were left homeless in Yabucoa.",There were 37 confirmed fatalities caused by Hurricane Betsy (1956) in total.,"Over 12,000 people were left homeless in Yabucoa due to Hurricane Betsy (1956).",There were 24 injuries related to the storm in Puerto Rico.,The economic loss or damage in 1956 USD due to Hurricane Betsy (1956) was $50 million.,"A total of 15,023 houses were destroyed by Hurricane Betsy (1956) in Puerto Rico."
202,"February 9–11, 2017, North American blizzard","https://en.wikipedia.org/wiki/February_9%E2%80%9311,_2017_North_American_blizzard","The blizzard occurred from February 9–11, 2017.","The blizzard affected the Central Plains, Midwest, Ohio Valley, Northeast (Mid-Atlantic states, especially the New England states), Atlantic Canada, and Greenland.","More than 80,000 people experienced power outages.",One death was confirmed to be caused by the blizzard.,NULL,One person was confirmed to have been injured due to the blizzard.,Unknown,NULL
203,2014 Southeast Europe floods,https://en.wikipedia.org/wiki/2014_Southeast_Europe_floods,"Between 13 and 18 May 2014 a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe, causing floods and landslides. The event produced limited damage but left a number of flooding incidents and high rivers. A state of emergency was declared in parts of Bosnia by local government.","Serbia, Bosnia and Herzegovina, Croatia, Romania, Slovakia, Austria, Bulgaria, Hungary, Italy, Poland, and Eastern Croatia and southern Romania.","Official counts indicate that over 1.6 million people were affected in Serbia and Bosnia, after a week of flooding.",At least 86 deaths were confirmed caused by 2014 Southeast Europe floods in total.,Hundreds of thousands had been forced from their homes.,NULL,More than one billion euros of property damage.,"2,260 public, industrial and infrastructure facilities were flooded, and 3,500 roads were destroyed. Around 500 houses were seriously damaged and at least 20 houses are completely uninhabitable."
204,2013 Argentina floods,https://en.wikipedia.org/wiki/2013_Argentina_floods,"Between 1 and 3 April 2013, the northeastern section of Buenos Aires Province, Argentina, experienced several flash floods",Greater La Plata and Greater Buenos Aires,"An estimated 3,000 people were evacuated in Greater La Plata",101 deaths were confirmed in total,"At least 1,200 people were evacuated in La Plata",NULL,Business losses were estimated at 530.6 million pesos (US$104 million),Numerous families lost all their possessions in the floods
205,Late March 2016 North American blizzard,https://en.wikipedia.org/wiki/Late_March_2016_North_American_blizzard,"The Late March 2016 North American blizzard occurred from March 21, 2016 to March 26, 2016.","The High Plains, Central United States, and New England were affected by the Late March 2016 North American blizzard.","Over 200,000 people were affected by power outages.",There were 2 fatalities confirmed caused by the Late March 2016 North American blizzard.,NULL,NULL,NULL,NULL
206,Hurricane Tico,https://en.wikipedia.org/wiki/Hurricane_Tico,"Hurricane Tico occurred from October 11, 1983 to October 24, 1983.","Hurricane Tico affected Mexico, South Central United States, and Eastern United States.",A total of 141 people were killed and 200 people were homeless in Oklahoma and Texas.,A total of 141 deaths were confirmed caused by Hurricane Tico.,"A total of 25,000 people were homeless due to Hurricane Tico in Mexico.",A total of 14 people were hurt due to Hurricane Tico.,The total damage amounted to $284 million (1983 USD).,A total of 13 hotels received extensive damage.
207,1964 Rameswaram cyclone,https://en.wikipedia.org/wiki/1964_Rameswaram_cyclone,"The 1964 Rameswaram cyclone occurred from December 18, 1964 to December 26, 1964.",The areas affected by the 1964 Rameswaram cyclone include Ceylon and India.,"At least 1,800 people were explicitly affected by the 1964 Rameswaram cyclone.","At least 1,800 people were confirmed to have died as a result of the 1964 Rameswaram cyclone.",The total number of people who became homeless or displaced due to the 1964 Rameswaram cyclone is not explicitly mentioned in the text.,The total number of people who became injured related to the 1964 Rameswaram cyclone is not explicitly mentioned in the text.,The economic damage caused by the 1964 Rameswaram cyclone was estimated at $150 million (1964 USD).,"The text mentions that about 5000 houses and 700 fishing boats were destroyed in the Jaffna district of Ceylon, and the town of Dhanuskodi was completely destroyed."
208,Hurricane Charley (1986),https://en.wikipedia.org/wiki/Hurricane_Charley_(1986),"Hurricane Charley (1986) occurred from August 15, 1986 to August 30, 1986.","Hurricane Charley (1986) affected the Southeastern United States, Mid-Atlantic states, Massachusetts, British Isles, Ireland, and the United Kingdom.",At least 15 fatalities were confirmed due to Hurricane Charley (1986) in total.,At least 15 deaths were confirmed caused by Hurricane Charley (1986) in total.,"Several houses were flooded in Ireland, and over 500 houses were damaged. Additionally, at least five people were missing after the storm, all of whom are presumed to have drowned.",The text does not provide specific information about the number of people who were injured.,The economic loss or damage in USD due to Hurricane Charley (1986) in the United States was estimated to be over $15 million (1986 USD).,"In the Dublin area, 451 buildings were flooded, some up to a depth of 8 ft (2.4 m)."
209,2017 California floods,https://en.wikipedia.org/wiki/2017_California_floods,"The 2017 California floods occurred from January 7 to February 22, 2017.","The 2017 California floods affected parts of California, Nevada, western Nevada, and southern Oregon.",At least 5 people were confirmed to have been directly affected by the 2017 California floods.,At least 5 deaths were confirmed to have been caused by the 2017 California floods.,"14,000 people were evacuated in San Jose due to flooding along Coyote Creek, and 500 people were evacuated near Manteca due to a levee breach.",One man drowned and three others were injured in a flash flood in Arroyo Conejo Creek in Thousand Oaks.,"The damage was estimated at $1.55 billion, including damage to California roads and highways estimated at more than $1.05 billion. The estimated cost to repair Oroville Dam is $400 million, and the actual cost of repairs had risen to $1.1 billion as of September 2018.","The flooding caused $73 million in damage along Coyote Creek in San Jose, and the spillway of Oroville Dam was damaged, with the estimated cost to repair the dam being $400 million."
210,Cyclone Monty,https://en.wikipedia.org/wiki/Cyclone_Monty,"Cyclone Monty occurred from February 23, 2004 to March 3, 2004.","Cyclone Monty affected Western Australia, particularly the Pilbara region.",Two people had to be rescued off of the roof of a home in Yarraloola on the Robe River due to flooding caused by Cyclone Monty.,None reported,Two people had to be rescued off of the roof of a home in Yarraloola on the Robe River due to flooding caused by Cyclone Monty.,NULL,"Minimal damage was reported, with minor property damage and damage to two vessels. The name Monty was retired due to its impact.","Minor property damage occurred over land, and two vessels broke their moorings, ran aground, and caused considerable damage."
211,January 2016 United States blizzard,https://en.wikipedia.org/wiki/January_2016_United_States_blizzard,"The January 2016 United States blizzard occurred during January 22–24, 2016.","The areas affected by January 2016 United States blizzard include the Pacific Northwest, Great Plains, South Central United States, Eastern United States (especially the Mid-Atlantic states), Atlantic Canada, British Isles, and Finland.","Approximately 103 million people were affected by the storm, with 33 million people placed under blizzard warnings.",At least 55 fatalities have been attributed to the storm and its aftermath.,NULL,NULL,Total economic losses are estimated between $500 million and $3 billion.,"Numerous trees and power lines were downed, multiple structures were damaged, and a few were destroyed by the tornadoes."
212,2021 Eurasia winter heat wave,https://en.wikipedia.org/wiki/2021_Eurasia_winter_heatwave,"The 2021 Eurasia winter heat wave occurred from February 20 until February 28, 2021.",The areas affected by the 2021 Eurasia winter heat wave included Europe and parts of Asia.,NULL,None,NULL,NULL,NULL,NULL
213,Typhoon Nida (2004),https://en.wikipedia.org/wiki/Typhoon_Nida_(2004),"Typhoon Nida (2004) occurred from May 13, 2004 to May 22, 2004.",The areas affected by Typhoon Nida (2004) were the Philippines and Japan.,"A total of 11,000 people were displaced due to Typhoon Nida (2004).","31 fatalities (20 confirmed, 11 unaccounted for) were reported during Nida's landfall.","Typhoon Nida (2004) damaged or destroyed over 700-4,000 homes, displacing 11,000 people.",There were no specific reports of the number of people injured due to Typhoon Nida (2004).,The economic loss or damage due to Typhoon Nida (2004) was $1.3 million (2004 USD).,"The typhoon damaged or destroyed over 700-4,000 homes, displacing 11,000 people."
214,2022 Southern Cone heat wave,https://en.wikipedia.org/wiki/2022_Southern_Cone_heat_wave,The 2022 Southern Cone heat wave occurred from 10 January 2022 to 26 January 2022.,"The areas affected by the 2022 Southern Cone heat wave include Argentina, Brazil, Paraguay, and Uruguay.",NULL,The text mentions three heat-related deaths during the heat wave.,NULL,NULL,"The economic loss due to the 2022 Southern Cone heat wave includes the death of 400,000 chickens, estimated at 1.5 million dollars.",NULL
